Date,port_lump,sp500_lump,world_lump,port_pac,port_pac_contributions,sp500_pac,world_pac
2010-07-31,22324.088738868293,13810.726967608087,13810.726967608087,22339.897873006325,17600.0,18035.723435672975,18035.723435672964
2010-08-31,21614.117236787228,13189.508790617267,13189.508790617267,21814.455783864712,17800.0,17424.461345002608,17424.461345002594
2010-09-30,23879.623250201133,14370.691043750714,14370.691043750716,24277.905851552187,18000.0,19184.90342346485,19184.90342346484
2010-10-31,24825.19939206955,14919.679229573765,14919.679229573765,25470.475995150955,18200.0,20117.803831216537,20117.803831216523
2010-11-30,24566.448802267896,14919.679229573765,14919.679229573765,25450.486700813923,18400.0,20317.803831216537,20317.803831216526
2010-12-31,26080.463396814106,15917.095382714713,15917.095382714715,27186.385446630175,18600.0,21876.097493283654,21876.097493283643
2011-01-31,25938.835160953182,16287.965539425899,16287.965539425899,27375.740446956228,18800.0,22585.81308588944,22585.813085889426
2011-02-28,26540.652984342785,16853.77009047736,16853.77009047736,28324.303588341558,19000.0,23570.38963734771,23570.389637347696
2011-03-31,26878.64659674315,16855.795396037425,16855.795396037425,28793.194360903697,19200.0,23773.22207429975,23773.222074299734
2011-04-30,27820.858968052806,17343.963655891726,17343.963655891726,30042.170786985458,19400.0,24661.72903457461,24661.7290345746
2011-05-31,27268.29519018306,17149.454575719057,17149.454575719057,29713.70825316187,19600.0,24585.152680682564,24585.15268068255
2011-06-30,26725.26714792554,16860.146005543644,16860.146005543644,29321.708936375133,19800.0,24370.405066512783,24370.40506651277
2011-07-31,26779.46137771001,16522.874402257963,16522.874402257963,29539.589191979525,20000.0,24082.897687466266,24082.89768746625
2011-08-31,25326.94612339072,15614.513466225024,15614.513466225024,28290.357550900528,20200.0,22958.91718908622,22958.91718908621
2011-09-30,22303.947435058468,14530.549677422623,14530.549677422621,25470.178920817503,20400.0,21565.10288824915,21565.102888249134
2011-10-31,25026.720487808863,16116.512031422619,16116.512031422619,28614.98847239373,20600.0,24118.86390212473,24118.863902124715
2011-11-30,24707.594379465856,16051.016181242063,16051.016181242065,28478.73337297456,20800.0,24220.847315559422,24220.84731555941
2011-12-31,23973.480029388924,16218.72667140715,16218.72667140715,27996.937302545255,21000.0,24673.921023145194,24673.921023145183
2012-01-31,25954.457386532475,16970.859333984597,16218.72667140715,30338.346656715865,21200.0,26018.157700373427,24873.921023145183
2012-02-29,26998.528217761323,17707.48701668377,17270.66110309868,31747.22379534633,21400.0,27347.487384731125,26687.224860464983
2012-03-31,27019.286836246723,18277.02319322966,17264.387694457495,32212.046134575678,21600.0,28427.080485014732,26877.53097173372
2012-04-30,26732.493701006868,18155.007393947566,17333.47035766193,32086.789025186157,21800.0,28437.30379600116,27185.08019112961
2012-05-31,24479.354312224023,17064.700601294233,15854.471205417274,29723.527362643763,22000.0,26929.489261931467,25065.480611429113
2012-06-30,25526.28734018042,17757.20573655142,16202.125471955045,31172.9699546033,22200.0,28222.318842681703,25815.112394443462
2012-07-31,25712.557788049555,17967.269163425386,16740.392076584587,31618.2867662994,22400.0,28756.182013406833,26872.74140865763
