date,strategia,nasdaq
1975-10-17,14575.656074488348,12850.404275264407
1975-10-20,14759.902865609338,12933.477239267077
1975-10-21,14869.697399057575,12983.447060399612
1975-10-22,15048.125130034445,13063.216832056489
1975-10-23,14720.308457227848,12922.812951340647
1975-10-24,14927.970661001473,13015.82935530453
1975-10-27,14799.056737647878,12961.506244430178
1975-10-28,14961.83817787684,13034.660608844708
1975-10-29,14521.14208574117,12844.574934150463
1975-10-30,14468.976635334786,12823.356428674364
1975-10-31,14293.620151405474,12747.499933263214
1975-11-03,14153.134241805035,12686.542075345322
1975-11-04,14238.726181368216,12726.582362020245
1975-11-05,14398.661061009709,12799.741572419687
1975-11-06,14429.062841336689,12814.948395726218
1975-11-07,14358.810109787128,12785.447406293131
1975-11-10,14448.678763519389,12827.15011065297
1975-11-11,14646.996130287716,12916.87809690306
1975-11-12,15120.781824754384,13127.49835728587
1975-11-13,15098.426363552171,13119.53143080186
1975-11-14,15003.667349387795,13080.098036036708
1975-11-17,15046.001047756925,13100.28219206194
1975-11-18,14860.130398246822,13021.098786184344
1975-11-19,14573.386683605728,12897.193297865251
1975-11-20,14495.361539487383,12864.374682265794
1975-11-21,14518.342868905607,12876.274929818454
1975-11-24,14582.423424992769,12906.395419300356
1975-11-25,14676.574882516628,12949.768557074523
1975-11-26,14816.06138061227,13013.01979184126
1975-11-28,14903.373262658306,13053.085179741474
1975-12-01,14847.19419676072,13030.205309014049
1975-12-02,14341.903497766383,12810.19777786615
1975-12-03,13723.061138679215,12535.512808178646
1975-12-04,13549.619998364817,12457.950740662134
1975-12-05,13373.71728449294,12378.72922858904
1975-12-08,13442.417634787578,12412.15709766224
1975-12-09,13295.970997933451,12346.183512827562
1975-12-10,13553.592096054226,12467.42158948774
1975-12-11,13489.42270101013,12439.553132637227
1975-12-12,13425.419114926592,12411.683340131243
1975-12-15,13289.891340453623,12350.67386773419
1975-12-16,13518.79737774037,12458.667914776532
1975-12-17,13735.223965730518,12560.039091360306
1975-12-18,13830.102111002729,12605.076507389247
1975-12-19,13772.56824993322,12580.520828107108
1975-12-22,13649.859077898254,12526.136552291142
1975-12-23,13751.642355672782,12574.491299050684
1975-12-24,13926.274524697124,12655.992194511744
1975-12-26,14200.436758789156,12782.239372892527
1975-12-29,14127.40558050328,12751.057140510437
1975-12-30,14025.196109294857,12706.613664102968
1975-12-31,14369.73040092616,12864.361636662714
1976-01-02,14482.562442298824,12937.590530571088
1976-01-05,14666.134441331224,13053.916668341408
1976-01-06,15099.190469545954,13304.49845007175
1976-01-07,15308.610291341898,13424.153152404277
1976-01-08,15501.774975069357,13533.868879247031
1976-01-09,15693.6135071403,13643.588537375994
1976-01-12,15816.3703646939,13710.21707072976
1976-01-13,15717.159027786342,13662.472224737938
1976-01-14,16104.491751024316,13861.718045546124
1976-01-15,16131.532409467494,13880.282927344671
1976-01-16,16318.502645807346,13975.10471225956
1976-01-19,16461.35711219039,14046.722139367415
1976-01-20,16514.671458471585,14075.239247103234
1976-01-21,16526.990952298675,14083.86291741112
1976-01-22,16407.394807472407,14029.48849743134
1976-01-23,16621.801621082912,14135.93058987957
1976-01-26,16530.61429432552,14101.449749291154
1976-01-27,16421.271505987002,14053.70280331728
1976-01-28,16365.402782536186,14032.481847332449
1976-01-29,16900.19304912314,14284.847539218585
1976-01-30,17221.43255080277,14434.420206633087
1976-02-02,17300.902926567906,14472.901216568816
1976-02-03,17331.835398266114,14489.827707461382
1976-02-04,17725.95305035494,14667.605888440135
1976-02-05,17558.598794993144,14596.648444163207
1976-02-06,17266.15224054726,14469.304882177195
1976-02-09,17476.93857414334,14565.835330132586
1976-02-10,17517.307435389484,14586.082273284754
