Date,100% SPY,90/10 Healthcare,90/10 Consumer Staples,90/10 Utilities
2022-06-30,46778.12669038069,49011.98841142501,46656.854842521985,47392.16777135287
2022-07-31,51085.80349984582,53113.1063058883,50679.588345704826,51557.32431428382
2022-08-31,49001.393018027215,50825.36782379949,48716.50399860264,49710.78547542904
2022-09-30,44471.42262438863,46577.69092324273,44264.17977382333,45000.99978413731
2022-10-31,48085.85944354534,50460.53855564077,47899.03579877067,48350.4729310024
2022-11-30,50759.02858643412,53205.668692355226,50587.63307123047,51109.580614746
2022-12-31,47833.87389015962,50431.77883560936,47821.22064143505,48450.112270869875
2023-01-31,50842.020367886566,53003.81711470231,50476.71790792935,51049.451611405406
2023-02-28,49563.720769665866,51517.019890754884,49216.81861508867,49585.72699516861
2023-03-31,51401.42550917228,53322.81658570924,51065.239696141274,51483.90305234757
2023-04-30,52222.56354736411,54283.84209378653,51979.80698833989,52322.45718134851
2023-05-31,52463.643065658995,54189.90154620078,51890.060882965336,52226.95044674889
2023-06-30,55863.26802387542,57546.64057972491,55080.010322491544,55366.573925944096
2023-07-31,57691.85055586337,59270.140243553804,56828.05029635975,57139.07282957963
2023-08-31,56754.24211517355,58374.806805823624,55790.57779251934,55975.56624341624
2023-09-30,54062.139713118326,55736.01481582452,53142.09293137579,53276.37911226142
2023-10-31,52888.52849555049,54448.78429882036,52023.90497041452,52279.717528745
2023-11-30,57719.56757312051,59169.03670224225,56554.39049090709,56868.35820810076
2023-12-31,60354.774635484995,61853.12958254667,59050.9967299003,59331.51254096389
2024-01-31,61316.01480975061,62939.212825287075,59974.576854162646,60047.836650167854
2024-02-29,64515.89886095841,66064.37897065298,62954.97861675656,62979.17641745379
2024-03-31,66625.6890681034,68153.41159204747,65016.18929579751,65201.87740377555
2024-04-30,63939.37614214239,65325.46800709276,62541.5992036042,62871.17512686478
2024-05-31,67173.40376797739,68422.92825894721,65573.98361937095,66258.99481024718
2024-06-30,69543.29036950118,70701.14271089285,67694.84968568044,68070.25765219251
2024-07-31,70385.40032694215,71674.99618495037,68537.42363144101,69202.20960275966
