date,bucket_lt15,bucket_15_20,bucket_20_25,bucket_25_30,bucket_30_40,bucket_gt40
2011-12-31,10.752354231874067,18.84251878704721,3.2211834510663513,2.348234661288446,1.396510838454666,1.188799694573061
2012-01-31,10.752354231874067,18.84251878704721,3.360496133830669,2.348234661288446,1.396510838454666,1.188799694573061
2012-02-29,10.752354231874067,18.84251878704721,3.4850049624040347,2.348234661288446,1.396510838454666,1.188799694573061
2012-03-31,10.752354231874067,18.84251878704721,3.5584658710414754,2.348234661288446,1.396510838454666,1.188799694573061
2012-04-30,10.752354231874067,18.84251878704721,3.546284428415081,2.348234661288446,1.396510838454666,1.188799694573061
2012-05-31,10.752354231874067,18.84251878704721,3.4408577028481093,2.348234661288446,1.396510838454666,1.188799694573061
2012-06-30,10.752354231874067,18.84251878704721,3.406095924157318,2.348234661288446,1.396510838454666,1.188799694573061
2012-07-31,10.752354231874067,18.84251878704721,3.511405542356874,2.348234661288446,1.396510838454666,1.188799694573061
2012-08-31,10.752354231874067,18.84251878704721,3.6101910299338797,2.348234661288446,1.396510838454666,1.188799694573061
2012-09-30,10.752354231874067,18.84251878704721,3.7027065620155475,2.348234661288446,1.396510838454666,1.188799694573061
2012-10-31,10.752354231874067,18.84251878704721,3.696104187921426,2.348234661288446,1.396510838454666,1.188799694573061
2012-11-30,10.752354231874067,18.84251878704721,3.608386477767783,2.348234661288446,1.396510838454666,1.188799694573061
2012-12-31,10.752354231874067,18.84251878704721,3.6968440775630667,2.348234661288446,1.396510838454666,1.188799694573061
2013-01-31,10.752354231874067,18.84251878704721,3.8432710209633254,2.348234661288446,1.396510838454666,1.188799694573061
2013-02-28,10.752354231874067,18.84251878704721,3.90091897270904,2.348234661288446,1.396510838454666,1.188799694573061
2013-03-31,10.752354231874067,18.84251878704721,3.996790739099611,2.348234661288446,1.396510838454666,1.188799694573061
2013-04-30,10.752354231874067,18.84251878704721,4.059080898372584,2.348234661288446,1.396510838454666,1.188799694573061
2013-05-31,10.752354231874067,18.84251878704721,4.237282975660143,2.348234661288446,1.396510838454666,1.188799694573061
2013-06-30,10.752354231874067,18.84251878704721,4.179871054518406,2.348234661288446,1.396510838454666,1.188799694573061
2013-07-31,10.752354231874067,18.84251878704721,4.314056441858823,2.348234661288446,1.396510838454666,1.188799694573061
2013-08-31,10.752354231874067,18.84251878704721,4.319772844437683,2.348234661288446,1.396510838454666,1.188799694573061
2013-09-30,10.752354231874067,18.84251878704721,4.366244165776463,2.348234661288446,1.396510838454666,1.188799694573061
2013-10-31,10.752354231874067,18.84251878704721,4.4701561609758,2.348234661288446,1.396510838454666,1.188799694573061
2013-11-30,10.752354231874067,18.84251878704721,4.652265418591723,2.348234661288446,1.396510838454666,1.188799694573061
2013-12-31,10.752354231874067,18.84251878704721,4.723462483631895,2.348234661288446,1.396510838454666,1.188799694573061
2014-01-31,10.752354231874067,18.84251878704721,4.751438897557137,2.348234661288446,1.396510838454666,1.188799694573061
2014-02-28,10.752354231874067,18.84251878704721,4.727878415298235,2.348234661288446,1.396510838454666,1.188799694573061
2014-03-31,10.752354231874067,18.84251878704721,4.825548229369532,2.348234661288446,1.396510838454666,1.188799694573061
2014-04-30,10.752354231874067,18.84251878704721,4.81937362799375,2.348234661288446,1.396510838454666,1.188799694573061
2014-05-31,10.752354231874067,18.84251878704721,4.876136384642757,2.348234661288446,1.396510838454666,1.188799694573061
2014-06-30,10.752354231874067,18.84251878704721,4.876136384642757,2.4188180604173026,1.396510838454666,1.188799694573061
2014-07-31,10.752354231874067,18.84251878704721,4.876136384642757,2.4559266593081888,1.396510838454666,1.188799694573061
2014-08-31,10.752354231874067,18.84251878704721,4.876136384642757,2.4495536371867783,1.396510838454666,1.188799694573061
2014-09-30,10.752354231874067,18.84251878704721,4.876136384642757,2.4912222232758343,1.396510838454666,1.188799694573061
2014-10-31,10.752354231874067,18.84251878704721,4.876136384642757,2.431418797012834,1.396510838454666,1.188799694573061
2014-11-30,10.752354231874067,18.84251878704721,4.876136384642757,2.584078024207542,1.396510838454666,1.188799694573061
2014-12-31,10.752354231874067,18.84251878704721,4.876136384642757,2.615298319911223,1.396510838454666,1.188799694573061
2015-01-31,10.752354231874067,18.84251878704721,4.876136384642757,2.5984400692736314,1.396510838454666,1.188799694573061
2015-02-28,10.752354231874067,18.84251878704721,4.876136384642757,2.6604110940489214,1.396510838454666,1.188799694573061
2015-03-31,10.752354231874067,18.84251878704721,4.876136384642757,2.646101177375893,1.396510838454666,1.188799694573061
2015-04-30,10.752354231874067,18.84251878704721,4.876136384642757,2.6639293781947075,1.396510838454666,1.188799694573061
2015-05-31,10.752354231874067,18.84251878704721,4.876136384642757,2.6763196762901185,1.396510838454666,1.188799694573061
2015-06-30,10.752354231874067,18.84251878704721,4.876136384642757,2.6553964874548375,1.396510838454666,1.188799694573061
2015-07-31,10.752354231874067,18.84251878704721,4.876136384642757,2.653170813854804,1.396510838454666,1.188799694573061
2015-08-31,10.752354231874067,18.84251878704721,4.876136384642757,2.592432165503465,1.396510838454666,1.188799694573061
2015-09-30,10.752354231874067,18.84251878704721,4.663800667182189,2.592432165503465,1.396510838454666,1.188799694573061
2015-10-31,10.752354231874067,18.84251878704721,4.663800667182189,2.7054876018318037,1.396510838454666,1.188799694573061
2015-11-30,10.752354231874067,18.84251878704721,4.663800667182189,2.7906919545408666,1.396510838454666,1.188799694573061
2015-12-31,10.752354231874067,18.84251878704721,4.663800667182189,2.769362815908189,1.396510838454666,1.188799694573061
2016-01-31,10.752354231874067,18.84251878704721,4.357217951724757,2.769362815908189,1.396510838454666,1.188799694573061
2016-02-29,10.752354231874067,18.84251878704721,4.329784907027485,2.769362815908189,1.396510838454666,1.188799694573061
