date,bucket_lt15,bucket_15_20,bucket_20_25,bucket_25_30,bucket_30_40,bucket_gt40
1931-12-31,1.9633932797023934,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1932-01-31,1.9467214963241941,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1932-02-29,1.9458087263053352,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1932-03-31,1.9680074169890958,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1932-04-30,1.510950004367133,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1932-05-31,1.3399917055051735,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1932-06-30,1.1739458186219984,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1932-07-31,1.2465483378030235,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1932-08-31,1.8866857429509623,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1932-09-30,2.082259219583308,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1932-10-31,1.8070615220798645,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1932-11-30,1.8009977985501326,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1932-12-31,1.753454437043017,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1933-01-31,1.8335854193810042,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1933-02-28,1.6270161170212614,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1933-03-31,1.632439504077999,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1933-04-30,1.8159688517475492,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1933-05-31,2.3483719113310104,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1933-06-30,2.7612785283975256,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1933-07-31,2.994928580327217,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1933-08-31,2.855916423381931,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
