Date,leaps_nav,leaps_options_value,leaps_bond_value,bh_nav
2008-07-03,463507.8871709152,241103.8083070839,222404.0788638313,299550.5541365151
2008-07-07,453948.138355215,230752.67164409327,223195.46671112176,297065.57310388575
2008-07-08,474112.76583123923,250123.44952958898,223989.31630165025,302166.2143187711
2008-07-09,448616.6010807896,223450.18536811438,225166.41571267517,295311.1398362838
2008-07-10,456201.0224991477,230617.4234551382,225583.59904400946,297401.7914649277
2008-07-11,442131.3806386895,219006.19523775374,223125.1854009358,294130.3101959275
2008-07-14,432705.55993819353,208407.37356257858,224298.18637561498,291501.3373155156
2008-07-15,421617.1230403535,196712.2634749225,224904.85956543096,288349.7645892938
2008-07-16,448084.8104397022,225057.10322000124,223027.70721970094,295602.7071096999
2008-07-17,460937.2822101585,239770.17478763204,221167.10742252643,299180.1785647721
2008-07-18,460657.804064916,240206.94456448292,220450.85950043306,299292.509789764
2008-07-21,459552.93548430665,238691.3550373043,220861.58044700234,299157.91868164414
2008-07-22,475089.2425079598,255130.4775927767,219958.76491518307,303221.0216908982
2008-07-23,478813.6624710407,259192.69137340592,219620.97109763476,304480.5725807028
2008-07-24,452889.703804597,230805.66608586648,222084.03771873054,297466.95809156116
2008-07-25,455563.70585897367,235331.86664053463,220231.83921843907,298733.3476711804
2008-07-28,435140.54035924334,213562.22814602708,221578.31221321627,293204.74109810026
2008-07-29,461301.7162512954,240252.73000614403,221048.98624515138,300079.14467220847
2008-07-30,481096.95650553773,259636.31038243056,221460.64612310714,305108.9896047555
2008-07-31,465653.71438247175,242651.3682137544,223002.34616871734,301126.0897859381
2008-08-01,459603.8849896771,236187.1261276629,223416.7588620142,299472.8506366324
2008-08-04,447701.8091716997,224439.75754945306,223262.05162224662,296814.1664951012
2008-08-05,480592.35688315384,258433.6804953927,222158.67638776114,305364.47648959624
2008-08-06,484219.25698043697,262402.634427749,221816.6225526879,306415.7106270038
2008-08-07,463211.36227408214,238719.3847904949,224491.97748358728,300947.5591426383
2008-08-08,490699.37877259456,266554.11667645414,224145.26209614042,308164.5948180494
2008-08-11,499014.4487355221,275786.7590694546,223227.68966606748,310331.28050690494
2008-08-12,484151.68734591553,259370.70500592166,224780.98233999388,306618.9536026153
2008-08-13,479382.2864540268,255139.61888721626,224242.6675668106,305752.0016898625
2008-08-14,485832.33112866344,260601.57206159024,225230.7590670732,307467.2726810535
2008-08-15,490916.8853923456,264694.12783523847,226222.7575571071,308747.6094230465
2008-08-18,471204.6247571085,244562.81647290752,226641.808284201,304113.4302148412
2008-08-19,459965.6746524352,233482.1558851311,226483.51876730408,301307.46787391073
2008-08-20,467249.18033808423,239961.19570709512,227287.98463098909,303201.3473035154
2008-08-21,469248.1952921392,242892.0012044925,226356.19408764673,303984.567955982
2008-08-22,482749.4377004184,256935.95953526278,225813.47816515563,307456.33841223107
2008-08-25,459682.6064568176,232298.91814170638,227383.68831511118,301449.49370884773
2008-08-26,463553.1592264265,236135.27312644574,227417.8860999808,302587.3384688377
2008-08-27,471812.1980451398,243973.49861068107,227838.6994344587,305029.4785011908
2008-08-28,488982.087570667,261496.62853251403,227485.45903815294,309583.065330061
2008-08-29,471651.15224966366,244904.93068137715,226746.2215682865,305361.75805583474
2008-09-02,464937.1243382812,236421.83234846534,228515.2919898159,304140.45225324295
2008-09-03,462187.4098318864,233055.48927638374,229131.92055550267,303549.7805577012
2008-09-04,430314.9062850702,199785.91749173604,230528.98879333414,294495.16964081785
2008-09-05,434514.68474733684,204344.29660323678,230170.38814410006,295827.3896820702
2008-09-08,457045.99789523287,226842.18024237858,230203.8176528543,301922.36244550557
2008-09-09,422016.1212067386,190996.17620987212,231019.94499686646,291643.35791332764
2008-09-10,427381.12562407216,196917.09528849972,230464.0303355724,293463.91219429055
2008-09-11,442139.4641950617,211446.15873089753,230693.30546416418,297542.8710718686
2008-09-12,443132.1144260318,214366.37969196818,228765.73473406362,298201.7830341855
2008-09-15,401378.6405185581,167328.78043235146,234049.8600862066,284173.5003589177
2008-09-16,417947.5604589516,184064.41445959205,233883.14599935952,289179.5759254617
2008-09-17,378113.6457918191,142806.5969250301,235307.04886678897,275574.33325396746
2008-09-18,417153.98092967126,184415.23380061286,232738.7471290584,287543.8358649248
2008-09-19,458516.06144418346,230492.49050398494,228023.57094019852,299146.09734463796
2008-09-22,419607.31163606676,192518.637336723,227088.67429934372,287735.5813428468
