market,date,cape,fwd5_ann,fwd10_ann
Asia ex Japan,2010-06,20.7,0.07740750121343964,0.06210603669765691
Australia,2010-06,16.1,0.07693225142636106,0.054107318073657096
Austria,2010-06,10.0,0.000857959126254082,0.0008563675458004294
Belgium,2010-06,7.9,0.16276467967321917,0.055016966157955816
Brazil,2010-06,19.3,-0.08010102046783085,-0.03774200074140832
Canada,2010-06,19.7,0.045576859748073684,0.03469477602796189
China,2010-06,25.5,0.07721020355674524,0.06599903219019554
Denmark,2010-06,23.3,0.17599638584581534,0.1248564415092035
Developed Markets Large,2010-06,16.7,0.13721947473238028,0.10568141336752501
Emerging Markets,2010-06,17.6,0.040306728212383014,0.03633046870559675
Europe,2010-06,13.7,0.10668590330761618,0.06278576947893355
Finland,2010-06,10.2,0.0984733909593869,0.07815440496022164
France,2010-06,13.3,0.09330710668007325,0.06832953233616967
Germany,2010-06,15.6,0.11351715140134866,0.06824160571792959
India,2010-06,26.9,0.024778798164876825,0.01699112362412758
Indonesia,2010-06,25.7,0.02546251549382661,0.014025181894790961
Italy,2010-06,9.0,0.04679311778399131,0.019604742033770828
Japan,2010-06,21.7,0.09025100312915901,0.06387546045648063
Netherlands,2010-06,11.3,0.1184246335467567,0.10200690609003527
Norway,2010-06,11.7,0.07800550285325802,0.032787273824760765
South Africa,2010-06,16.1,0.08133666051574195,0.010831221804224134
South Korea,2010-06,16.6,0.057930813923834146,0.05237788195897819
Spain,2010-06,11.5,0.060715350086061104,0.00879390729212881
Sweden,2010-06,19.5,0.11260271280966183,0.0719264641285422
Switzerland,2010-06,17.8,0.13725724645106818,0.10043740185185523
Taiwan,2010-06,18.2,0.10935772552408962,0.10522099629762005
Thailand,2010-06,17.2,0.128743710769897,0.07574848424846525
US Large,2010-06,18.8,0.17525897139659885,0.14093617802706193
