date,market,cape
2012-01,Dev ex US Large,13.8
2012-01,Developed Markets Large,17.3
2012-01,Egypt,10.1
2012-01,Emerging Markets,15.8
2012-01,Europe,12.5
2012-01,Europe ex UK,12.7
2012-01,Finland,9.5
2012-01,France,12.3
2012-01,Germany,15.3
2012-01,Hong Kong,19.2
2012-01,Hungary,8.1
2012-01,India,19.7
2012-01,Indonesia,24.0
2012-01,Ireland,5.1
2012-01,Israel,18.0
2012-01,Italy,7.6
2012-01,Japan,17.8
2012-01,Malaysia,20.9
2012-01,Mexico,23.8
2012-01,Netherlands,11.5
2012-01,New Zealand,12.1
2012-01,Norway,12.8
2012-01,Peru,27.0
2012-01,Philippines,21.7
2012-01,Poland,12.6
2012-01,Portugal,9.0
2012-01,Singapore,15.1
2012-01,South Africa,18.4
2012-01,South Korea,15.8
2012-01,Spain,9.1
2012-01,Sweden,17.8
2012-01,Switzerland,17.3
2012-01,Taiwan,18.1
2012-01,Thailand,17.3
2012-01,Turkey,11.9
2012-01,US Large,21.5
2012-07,Asia ex Japan,16.8
2012-07,Australia,14.3
2012-07,Austria,7.7
2012-07,Belgium,9.9
2012-07,Brazil,11.9
2012-07,Canada,17.0
2012-07,Chile,25.7
2012-07,China,16.2
2012-07,Colombia,31.5
2012-07,Czech Republic,12.2
