EURUSD,mese
1.0908472843957675,1998-04
1.1077186297845185,1998-05
1.0997321940975358,1998-06
1.0971366024992661,1998-07
1.101628972573194,1998-08
1.1555374134603282,1998-09
1.1998621315230829,1998-10
1.1661194407455802,1998-11
1.1736067242021273,1998-12
1.1364697982576568,1999-01
1.0988906368694868,1999-02
1.080201000753562,1999-03
1.0558145236825158,1999-04
1.041622393583792,1999-05
1.030428600829869,1999-06
1.0688073188433191,1999-07
1.0575135815112364,1999-08
1.063710145357158,1999-09
1.0512170730871548,1999-10
1.0071415141185833,1999-11
1.006441902071463,1999-12
0.975159249107375,2000-01
0.963765567197132,2000-02
0.9568693913040902,2000-03
0.9083962708964777,2000-04
0.9322830250767238,2000-05
0.9539709985374497,2000-06
0.9260864612308024,2000-07
0.8873079649047123,2000-08
0.8832102372001512,2000-09
0.848129690265982,2000-10
0.8689181625232673,2000-11
0.9382796997663255,2000-12
0.9302841335135233,2001-01
0.9206894540101609,2001-02
0.87891262033927,2001-03
0.886908186592072,2001-04
0.8450314083430212,2001-05
0.8469303553280618,2001-06
0.874714948056549,2001-07
0.9084962154746379,2001-08
0.9093957166780782,2001-09
0.8988015913931152,2001-10
0.8953035311575144,2001-11
0.8896066902023928,2001-12
0.8589237047072649,2002-01
0.8653201577095063,2002-02
0.8712168878209481,2002-03
0.8997010925965553,2002-04
0.9333824154364839,2002-05
0.9850537623452176,2002-06
0.979057087655616,2002-07
0.9800565334372164,2002-08
0.9873524876428983,2002-09
0.9875523767992181,2002-10
0.9926495502853795,2002-11
1.047918902007874,2002-12
1.0733048248605208,2003-01
1.0773026079869217,2003-02
1.089395901944285,2003-03
1.1173803838290923,2003-04
1.1759479066308676,2003-05
1.1495625379966203,2003-06
1.1224775573152534,2003-07
1.097991135666047,2003-08
1.1643543355643045,2003-09
1.1602566078597434,2003-10
1.1988352150295134,2003-11
1.259001851081849,2003-12
1.2468050718307506,2004-01
1.2494065761566173,2004-02
1.23129963874817,2004-03
1.198293685913087,2004-04
1.2198989391326915,2004-05
1.218397855758668,2004-06
1.2016053199768078,2004-07
1.2178043127059948,2004-08
1.2433944940567028,2004-09
1.2791976928710949,2004-10
1.329804897308351,2004-11
1.3565024137496962,2004-12
1.3051933050155653,2005-01
1.3217023611068737,2005-02
1.2966973781585702,2005-03
1.28759789466858,2005-04
1.2307995557785043,2005-05
1.209102153778077,2005-06
1.2124004364013683,2005-07
1.234095573425294,2005-08
1.2028049230575573,2005-09
1.1988970041275036,2005-10
1.1804981231689462,2005-11
1.184104561805726,2005-12
1.2148454189300546,2006-01
1.193004250526429,2006-02
1.2115044593811046,2006-03
1.263599514961244,2006-04
1.2816076278686532,2006-05
1.2782983779907238,2006-06
1.2774002552032477,2006-07
1.2809016704559333,2006-08
1.2662074565887458,2006-09
1.2766989469528207,2006-10
1.3251000642776496,2006-11
1.3198009729385383,2006-12
1.302303791046143,2007-01
1.3228913545608527,2007-02
1.3358982801437385,2007-03
1.3652063608169562,2007-04
1.3456052541732795,2007-05
1.3536012172698981,2007-06
1.3672035932540902,2007-07
1.3642005920410163,2007-08
1.4264928102493295,2007-09
1.4471989870071418,2007-10
