date,strat_lordo,strat_netto,nudo3x,ndx1
2016-09-07,111868.50880071108,85046.14669048258,39935.00502665599,249006.182599891
2016-09-08,109929.23995881322,83571.8502672225,39242.719709197496,247576.374687142
2016-09-09,101519.87481851826,77178.77227805018,36240.20248415,241271.238310849
2016-09-12,106921.23023395149,81285.06161642604,38168.91799971457,245560.19297500298
2016-09-13,104103.29625684465,79142.77484644632,37162.922608264824,243411.7642397269
2016-09-14,105633.83762544127,80306.3431030091,37709.421705039415,244613.78183207609
2016-09-15,110559.99474460828,84051.37095283398,39468.06495593628,248425.34024334353
2016-09-16,110428.48481775585,83951.39274940346,39421.128136280575,248335.8981438599
2016-09-19,108912.98515618849,82799.25969686906,38880.123548075324,247208.90061553367
2016-09-20,109532.24540547314,83270.04185500141,39101.19523854377,247686.43480573737
2016-09-21,112846.73165857192,85789.82411639536,40284.41565496174,250193.81360105125
2016-09-22,115465.69505255559,87780.84685701782,41219.34285694385,252138.42733075688
2016-09-23,113163.31365481028,86030.50023857036,40397.43082956783,250471.72235596154
2016-09-26,110242.67548661806,83810.1343398491,39354.81134151328,248326.02066501777
2016-09-27,113639.74449425281,86392.69874727918,40567.508827352554,250885.73157374328
2016-09-28,114235.10346278566,86845.31035991399,40780.042131595816,251332.98808277134
2016-09-29,111631.98934463681,84866.33676388132,39850.77345514855,249433.06042033806
2016-09-30,114216.549887486,86831.20531727523,40773.41881228705,251367.1340341633
2016-10-03,113574.80962857987,86343.33311104651,40544.328156240736,250905.49824139682
2016-10-04,113069.26251425862,85958.99944552757,40363.85619975221,250542.3460920731
2016-10-05,114340.99205687207,86925.81037731892,40817.84260809686,251490.77220101858
2016-10-06,114067.3351020255,86717.76729375363,40720.15160235517,251299.28597368288
2016-10-07,113403.05991761763,86212.76329055698,40483.01635070248,250820.6103737694
2016-10-10,115444.43750136171,87764.68616231924,41211.754377354526,252334.748119081
2016-10-11,111042.59403148018,84418.2589196446,39394.74701538916,248635.4858316657
2016-10-12,110879.55176036172,84294.30878340927,39337.62408298198,248524.3551382744
2016-10-13,109919.90972169313,83564.75711184499,38931.144589970965,247677.38660386155
2016-10-14,110156.18444562408,83744.38098496269,39060.49558020192,247960.70353587077
2016-10-17,109436.773024643,83197.460588012,38759.02992985635,247331.8099205688
2016-10-18,111854.74606581322,85035.68380344195,39813.39069393388,249583.5267897048
2016-10-19,111644.98307341003,84876.2150269882,39735.128965358446,249429.0689674085
2016-10-20,111390.01651309767,84682.38100057669,39637.51216617982,249233.8856799723
2016-10-21,112403.10888215504,85452.56738415809,40107.2159348697,250227.42400287517
2016-10-24,115675.71974886293,87940.51458945003,41546.787056895635,253230.33636644343
2016-10-25,114541.8718498461,87078.52585125862,41075.08721910008,252281.200848528
2016-10-26,112694.93591028733,85674.4239594254,40296.105733795885,250695.55553059478
2016-10-27,111260.44808544636,84583.87878916244,39694.20652202334,249456.469289814
2016-10-28,109476.3170556507,83227.52327051194,38932.86945420317,247870.68049274498
2016-10-31,109203.66856028009,83020.24685125139,38826.40954533966,247653.767119913
2016-11-01,107243.54617381372,81530.0968725144,37992.06435288927,245888.88775209102
2016-11-02,105044.47301246405,79858.28859806586,37033.501057229885,243829.92090280805
2016-11-03,102502.71482225896,77925.95981123087,35908.35596634508,241369.5227853548
2016-11-04,101520.29499481716,77179.09170999342,35477.829296336524,240413.7256188802
2016-11-07,107389.64832431007,81641.16856781201,38063.27342837373,246262.57846453323
2016-11-08,109064.58697469451,82914.51242199635,38807.88606139305,247877.43847705773
2016-11-09,110174.4342827051,83758.25511574456,39297.300108959964,248928.53148381217
2016-11-10,105785.11341268141,80421.34796836636,37386.36695028454,244902.7204154468
2016-11-11,106005.57468877318,80588.94993452354,37501.18346830375,245162.39897250614
2016-11-14,103260.79718157498,78502.2791367053,36318.105157586375,242593.27365468998
2016-11-15,106502.17626588231,80966.48290628046,37763.32122387686,245820.02198465355
2016-11-16,107995.29170720412,82101.59873297566,38422.89367242534,247260.18931828396
2016-11-17,109833.24180963356,83498.86929371463,39246.910933511164,249036.82940718016
2016-11-18,108757.40818467549,82680.9849287256,38792.89284386475,248085.64737616383
2016-11-21,111609.16959280979,84848.98843250437,40024.88621527909,250720.99045418034
2016-11-22,112443.2079042709,85483.05198928571,40390.064894150564,251492.68552599795
2016-11-23,111251.59368551822,84577.1473809831,39891.78108817633,250467.69600302688
2016-11-25,112160.44461053377,85268.08596519494,40288.68563764811,251307.551971584
2016-11-28,111376.12309306343,84671.81876236566,39964.4957709727,250642.69672789803
2016-11-29,112287.10925134517,85364.38062164858,40362.59931916624,251484.13359958815
2016-11-30,108636.33874163593,82588.94392699187,38810.554970404315,248269.9470369797
2016-12-01,104309.96940428077,79299.89462038687,36952.11915716525,244317.1116310884
2016-12-02,104519.74438046351,79459.37250730689,37073.72129096185,244594.90351000667
2016-12-05,106505.10583918379,80968.71006496352,37981.747138026505,246601.61528074672
