date,NAV_1x_gross,NAV_2x_gross,NAV_3x_gross,NAV_1x_real,NAV_2x_real,NAV_3x_real
2005-01-31,32.873044,497.246654,3250.753672,32.397902,243.430945,888.052305
2005-02-28,33.536514,517.086947,3442.898844,33.050538,252.677002,937.396771
2005-03-31,32.944040,498.550139,3255.238575,32.465231,243.096757,882.851305
2005-04-30,32.328900,479.229886,3059.446809,31.857703,233.197812,826.664354
2005-05-31,33.345997,509.420669,3348.764844,32.858608,247.384069,901.497579
2005-06-30,33.391950,510.548500,3357.153539,32.902453,247.401322,900.246150
2005-07-31,34.640457,549.082902,3740.675625,34.131306,265.558566,999.567159
2005-08-31,34.306127,538.159846,3625.809011,33.800347,259.693029,964.933881
2005-09-30,34.594975,546.900766,3710.856789,34.083517,263.372386,983.909931
2005-10-31,34.032877,528.315845,3513.776941,33.528331,253.901816,928.191281
2005-11-30,35.282537,567.519744,3908.899107,34.758019,272.187519,1028.756804
2005-12-31,35.300689,567.858812,3909.877397,34.774452,271.793877,1025.199138
2006-01-31,36.250062,598.227052,4221.460334,35.708257,285.773418,1103.004111
2006-02-28,36.314915,599.980057,4235.903253,35.770793,286.081193,1103.064922
2006-03-31,36.776916,615.009850,4392.507103,36.224219,292.592427,1139.209131
2006-04-30,37.273569,631.362859,4564.878465,36.712025,299.818028,1179.949842
2006-05-31,36.178010,593.982103,4156.927901,35.631413,281.461614,1070.309304
2006-06-30,36.240280,594.791498,4152.548161,35.691185,281.242044,1065.027558
2006-07-31,36.478913,601.786517,4216.995931,35.924777,283.996300,1077.739539
2006-08-31,37.318114,629.502666,4508.558474,36.749555,296.412956,1147.589747
2006-09-30,38.290423,662.389051,4862.663234,37.705556,311.292907,1233.367641
2006-10-31,39.558541,706.672007,5354.761365,38.952605,331.395391,1352.931726
2006-11-30,40.269393,731.862519,5638.582654,39.650919,342.508688,1419.372659
2006-12-31,40.834309,752.272134,5872.962583,40.205564,351.376373,1473.161970
2007-01-31,41.466323,775.387569,6141.544376,40.826228,361.469799,1535.104383
2007-02-28,40.614006,742.679613,5743.053845,39.985558,345.580614,1430.665367
2007-03-31,41.084272,758.769854,5916.537487,40.446783,352.312869,1468.164379
2007-04-30,42.922662,827.714220,6735.167642,42.254975,383.580786,1665.440048
2007-05-31,44.386240,884.501804,7432.200977,43.693881,409.022967,1830.692962
2007-06-30,43.658266,854.459039,7041.007577,42.975470,394.321732,1727.886338
2007-07-31,42.323291,801.024621,6367.053893,41.659635,368.904938,1556.672485
2007-08-31,42.939636,820.261920,6546.280484,42.264387,376.920044,1593.995131
2007-09-30,44.537108,880.815504,7264.701695,43.835089,403.999785,1763.023626
2007-10-31,45.270275,908.503691,7590.313469,44.554667,415.768478,1834.577950
2007-11-30,43.344218,828.135027,6549.452082,42.657275,378.210603,1577.084922
2007-12-31,43.034209,814.395872,6364.241115,42.350498,371.211619,1527.064828
2008-01-31,40.470377,716.712254,5215.013121,39.825735,326.014627,1246.625993
2008-02-29,39.127965,667.729496,4665.757745,38.503175,303.140456,1111.365709
2008-03-31,38.961184,657.989973,4522.843736,38.337535,298.136974,1073.509027
2008-04-30,40.887671,722.636541,5184.095237,40.231432,326.730748,1225.707329
2008-05-31,41.394299,739.432265,5352.525099,40.728233,333.642523,1260.844033
2008-06-30,37.903538,617.793145,4065.529732,37.292080,278.182792,954.079061
2008-07-31,37.604855,605.383513,3917.249628,36.996600,272.010913,915.702117
2008-08-31,38.134643,620.440327,4043.668197,37.516256,278.207342,941.752357
2008-09-30,34.740983,501.959048,2825.386588,34.176196,224.614483,655.524323
2008-10-31,28.933578,328.832024,1373.248521,28.461892,146.807537,317.261697
2008-11-30,26.833538,272.625110,979.896469,26.395088,121.485846,225.605765
2008-12-31,27.119950,272.607266,947.266946,26.675656,121.217467,217.241049
2009-01-31,24.860817,226.288726,703.049216,24.452558,100.423680,160.654063
2009-02-28,22.185317,178.348235,484.093991,21.820167,79.000114,110.241175
2009-03-31,24.156174,207.348959,589.646942,23.757552,91.650596,133.759588
2009-04-30,26.494491,247.554481,760.505781,26.056201,109.200131,171.885511
2009-05-31,27.965101,274.074676,877.725741,27.501394,120.664471,197.682506
2009-06-30,28.038149,274.542479,875.306893,27.572028,120.611752,196.371501
2009-07-31,30.187459,317.058362,1080.269201,29.684315,138.993618,241.421051
2009-08-31,31.263622,339.324253,1192.115460,30.741263,148.451747,265.433195
2009-09-30,32.442292,364.692724,1324.458804,31.898912,159.225447,293.812153
2009-10-31,31.862105,350.377927,1239.794416,31.327073,152.647566,273.958428
2009-11-30,33.746202,392.263023,1464.306977,33.178220,170.564830,322.435614
2009-12-31,34.406463,407.380846,1547.590157,33.825893,176.760018,339.453983
2010-01-31,33.183819,378.177693,1379.960687,32.622647,163.784450,301.663476
2010-02-28,34.182206,400.307657,1497.337768,33.602886,173.049161,326.228426
2010-03-31,36.254860,450.040513,1783.194720,35.638790,194.115237,386.943306
2010-04-30,36.846195,463.991607,1861.570819,36.218569,199.724505,402.455395
2010-05-31,33.878279,389.082995,1412.078429,33.299880,167.151280,304.184248
2010-06-30,32.109841,347.551249,1181.940751,31.560253,148.987850,253.611009
2010-07-31,34.377019,397.043623,1436.076559,33.787223,169.858645,307.008766
2010-08-31,32.804440,360.561681,1237.625848,32.240214,153.919800,263.548362
2010-09-30,35.735789,426.908426,1589.187120,35.119687,181.873187,337.171918
2010-10-31,37.112158,459.932912,1774.274893,36.470810,195.543587,375.052726
2010-11-30,37.085389,458.476207,1761.290187,36.442984,194.526016,370.926736
2010-12-31,39.570269,521.548360,2134.401967,38.883128,220.816058,447.773175
2011-01-31,40.523901,546.512139,2286.451118,39.818623,230.936269,477.983095
2011-02-28,41.874307,582.915630,2514.592825,41.143977,245.865342,523.920999
2011-03-31,41.899091,582.228638,2501.222646,41.166451,245.026152,519.018207
2011-04-30,43.154032,617.235291,2727.566160,42.397768,259.254560,563.995638
2011-05-31,42.635180,601.917556,2622.959447,41.886262,252.303690,540.350628
2011-06-30,41.925927,580.707676,2476.824078,41.187668,242.891458,508.257948
